                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0188,                 1.5529,                 1.3187,                0.64772,                 0.6475,                0.66861,                0.50486,                0.83556,                  1.287,                 1.3105,              0.0076735,              0.0076735,              0.0076735
                     49,                  1.032,                 1.5176,                  1.318,                0.68385,                0.62185,                0.68884,                0.51989,                0.83485,                  1.213,                 1.3012,               0.007624,               0.007624,               0.007624
                     50,                 1.0107,                 1.5097,                 1.3136,                0.68138,                0.64228,                0.68463,                0.51725,                0.84597,                 1.2429,                 1.3142,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.0138,                  1.501,                  1.315,                 0.6527,                0.65387,                0.68594,                0.52407,                 0.8199,                 1.2084,                 1.2915,               0.007525,               0.007525,               0.007525
                     52,                 1.0053,                 1.4905,                 1.3055,                0.72299,                0.61387,                0.69319,                0.52611,                0.82348,                 1.1922,                 1.2979,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.0124,                  1.487,                 1.3106,                0.69079,                0.63545,                0.68871,                0.51729,                0.82487,                 1.2077,                 1.2891,               0.007426,               0.007426,               0.007426
                     54,                 1.0135,                 1.4846,                 1.3118,                0.72726,                 0.6166,                0.68738,                0.51955,                0.82803,                  1.193,                 1.2961,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.0039,                 1.4585,                 1.3068,                0.71186,                0.61397,                0.68918,                0.52092,                0.81476,                 1.1574,                 1.2812,               0.007327,               0.007327,               0.007327
                     56,                 1.0122,                  1.487,                 1.3066,                0.68431,                0.63866,                0.68446,                0.52115,                0.81931,                 1.2126,                 1.2874,              0.0072775,              0.0072775,              0.0072775
                     57,                0.98313,                 1.4325,                 1.2884,                0.74039,                0.60868,                0.69871,                0.53464,                0.82064,                 1.1849,                 1.2878,               0.007228,               0.007228,               0.007228
                     58,                0.99435,                  1.451,                 1.3007,                0.75171,                0.62565,                0.70774,                 0.5429,                0.82582,                 1.1528,                 1.2884,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.0109,                 1.4253,                 1.2998,                0.70407,                 0.6635,                0.70632,                0.54295,                0.80114,                 1.1261,                 1.2738,               0.007129,               0.007129,               0.007129
                     60,                0.98306,                 1.4223,                 1.2881,                0.71314,                0.67064,                0.71419,                0.55015,                0.79214,                 1.1317,                 1.2646,              0.0070795,              0.0070795,              0.0070795
                     61,                0.99007,                 1.3968,                 1.2889,                0.74493,                0.64984,                0.71189,                0.54381,                0.80687,                  1.119,                 1.2727,                0.00703,                0.00703,                0.00703
